Numero de documentos del corpus: 4480
Numero de palabras del corpus: 373700
Palabra: aa Frec: 8 LogProb: -10.771954986008799
Palabra: aaa Frec: 4 LogProb: -11.359741650910918
Palabra: aaabattery Frec: 0 LogProb: -12.969179563345019
Palabra: aaar Frec: 1 LogProb: -12.276032382785074
Palabra: aaas Frec: 1 LogProb: -12.276032382785074
Palabra: aac Frec: 0 LogProb: -12.969179563345019
Palabra: aachen Frec: 1 LogProb: -12.276032382785074
Palabra: aadhaar Frec: 0 LogProb: -12.969179563345019
Palabra: aadhar Frec: 0 LogProb: -12.969179563345019
Palabra: aadhunik Frec: 1 LogProb: -12.276032382785074
Palabra: aadhya Frec: 0 LogProb: -12.969179563345019
Palabra: aadi Frec: 0 LogProb: -12.969179563345019
Palabra: aadmi Frec: 1 LogProb: -12.276032382785074
Palabra: aadmora Frec: 0 LogProb: -12.969179563345019
Palabra: aadvay Frec: 0 LogProb: -12.969179563345019
Palabra: aai Frec: 4 LogProb: -11.359741650910918
Palabra: aaiffel Frec: 0 LogProb: -12.969179563345019
Palabra: aaj Frec: 0 LogProb: -12.969179563345019
Palabra: aakash Frec: 1 LogProb: -12.276032382785074
Palabra: aakrithi Frec: 0 LogProb: -12.969179563345019
Palabra: aal Frec: 0 LogProb: -12.969179563345019
Palabra: aalim Frec: 0 LogProb: -12.969179563345019
Palabra: aam Frec: 1 LogProb: -12.276032382785074
Palabra: aamazing Frec: 0 LogProb: -12.969179563345019
Palabra: aamchur Frec: 0 LogProb: -12.969179563345019
Palabra: aameria Frec: 0 LogProb: -12.969179563345019
Palabra: aamras Frec: 0 LogProb: -12.969179563345019
Palabra: aandhi Frec: 1 LogProb: -12.276032382785074
Palabra: aandwiches Frec: 0 LogProb: -12.969179563345019
Palabra: aania Frec: 0 LogProb: -12.969179563345019
Palabra: aanya Frec: 1 LogProb: -12.276032382785074
Palabra: aanyacentric Frec: 0 LogProb: -12.969179563345019
Palabra: aao Frec: 3 LogProb: -11.582885202225128
Palabra: aar Frec: 1 LogProb: -12.276032382785074
Palabra: aaram Frec: 0 LogProb: -12.969179563345019
Palabra: aarav Frec: 0 LogProb: -12.969179563345019
Palabra: aarbee Frec: 0 LogProb: -12.969179563345019
Palabra: aarfa Frec: 1 LogProb: -12.276032382785074
Palabra: aari Frec: 0 LogProb: -12.969179563345019
Palabra: aarika Frec: 0 LogProb: -12.969179563345019
Palabra: aarka Frec: 0 LogProb: -12.969179563345019
Palabra: aaron Frec: 3 LogProb: -11.582885202225128
Palabra: aaronovitch Frec: 3 LogProb: -11.582885202225128
Palabra: aarsun Frec: 0 LogProb: -12.969179563345019
Palabra: aart Frec: 4 LogProb: -11.359741650910918
Palabra: aarti Frec: 3 LogProb: -11.582885202225128
Palabra: aas Frec: 1 LogProb: -12.276032382785074
Palabra: aasa Frec: 0 LogProb: -12.969179563345019
