Numero de documentos del corpus: 3889
Numero de palabras del corpus: 349043
Palabra: aa Frec: 90 LogProb: -8.39912467545379
Palabra: aaa Frec: 43 LogProb: -9.125794548052378
Palabra: aaabattery Frec: 1 LogProb: -12.216837001410694
Palabra: aaar Frec: 0 LogProb: -12.90998418197064
Palabra: aaas Frec: 0 LogProb: -12.90998418197064
Palabra: aac Frec: 31 LogProb: -9.444248279170912
Palabra: aachen Frec: 0 LogProb: -12.90998418197064
Palabra: aadhaar Frec: 4 LogProb: -11.30054626953654
Palabra: aadhar Frec: 1 LogProb: -12.216837001410694
Palabra: aadhunik Frec: 0 LogProb: -12.90998418197064
Palabra: aadhya Frec: 0 LogProb: -12.90998418197064
Palabra: aadi Frec: 0 LogProb: -12.90998418197064
Palabra: aadmi Frec: 0 LogProb: -12.90998418197064
Palabra: aadmora Frec: 0 LogProb: -12.90998418197064
Palabra: aadvay Frec: 0 LogProb: -12.90998418197064
Palabra: aai Frec: 0 LogProb: -12.90998418197064
Palabra: aaiffel Frec: 0 LogProb: -12.90998418197064
Palabra: aaj Frec: 0 LogProb: -12.90998418197064
Palabra: aakash Frec: 0 LogProb: -12.90998418197064
Palabra: aakrithi Frec: 0 LogProb: -12.90998418197064
Palabra: aal Frec: 1 LogProb: -12.216837001410694
Palabra: aalim Frec: 0 LogProb: -12.90998418197064
Palabra: aam Frec: 0 LogProb: -12.90998418197064
Palabra: aamazing Frec: 0 LogProb: -12.90998418197064
Palabra: aamchur Frec: 0 LogProb: -12.90998418197064
Palabra: aameria Frec: 0 LogProb: -12.90998418197064
Palabra: aamras Frec: 0 LogProb: -12.90998418197064
Palabra: aandhi Frec: 0 LogProb: -12.90998418197064
Palabra: aandwiches Frec: 0 LogProb: -12.90998418197064
Palabra: aania Frec: 0 LogProb: -12.90998418197064
Palabra: aanya Frec: 0 LogProb: -12.90998418197064
Palabra: aanyacentric Frec: 0 LogProb: -12.90998418197064
Palabra: aao Frec: 0 LogProb: -12.90998418197064
Palabra: aar Frec: 0 LogProb: -12.90998418197064
Palabra: aaram Frec: 0 LogProb: -12.90998418197064
Palabra: aarav Frec: 0 LogProb: -12.90998418197064
Palabra: aarbee Frec: 0 LogProb: -12.90998418197064
Palabra: aarfa Frec: 0 LogProb: -12.90998418197064
Palabra: aari Frec: 0 LogProb: -12.90998418197064
Palabra: aarika Frec: 0 LogProb: -12.90998418197064
Palabra: aarka Frec: 0 LogProb: -12.90998418197064
Palabra: aaron Frec: 0 LogProb: -12.90998418197064
Palabra: aaronovitch Frec: 0 LogProb: -12.90998418197064
Palabra: aarsun Frec: 0 LogProb: -12.90998418197064
Palabra: aart Frec: 0 LogProb: -12.90998418197064
Palabra: aarti Frec: 0 LogProb: -12.90998418197064
Palabra: aas Frec: 0 LogProb: -12.90998418197064
Palabra: aasa Frec: 0 LogProb: -12.90998418197064
Palabra: aashi Frec: 0 LogProb: -12.90998418197064
Palabra: aashiqui Frec: 0 LogProb: -12.90998418197064
Palabra: aashirya Frec: 0 LogProb: -12.90998418197064
Palabra: aashto Frec: 0 LogProb: -12.90998418197064
