Numero de documentos del corpus: 7561
Numero de palabras del corpus: 546339
Palabra: aa Frec: 63 LogProb: -9.14850652324574
Palabra: aaa Frec: 31 LogProb: -9.841653703805685
Palabra: aaabattery Frec: 0 LogProb: -13.30738960660541
Palabra: aaar Frec: 0 LogProb: -13.30738960660541
Palabra: aaas Frec: 0 LogProb: -13.30738960660541
Palabra: aac Frec: 1 LogProb: -12.614242426045465
Palabra: aachen Frec: 0 LogProb: -13.30738960660541
Palabra: aadhaar Frec: 0 LogProb: -13.30738960660541
Palabra: aadhar Frec: 0 LogProb: -13.30738960660541
Palabra: aadhunik Frec: 0 LogProb: -13.30738960660541
Palabra: aadhya Frec: 3 LogProb: -11.92109524548552
Palabra: aadi Frec: 1 LogProb: -12.614242426045465
Palabra: aadmi Frec: 0 LogProb: -13.30738960660541
Palabra: aadmora Frec: 1 LogProb: -12.614242426045465
Palabra: aadvay Frec: 2 LogProb: -12.208777317937301
Palabra: aai Frec: 2 LogProb: -12.208777317937301
Palabra: aaiffel Frec: 0 LogProb: -13.30738960660541
Palabra: aaj Frec: 0 LogProb: -13.30738960660541
Palabra: aakash Frec: 0 LogProb: -13.30738960660541
Palabra: aakrithi Frec: 0 LogProb: -13.30738960660541
Palabra: aal Frec: 0 LogProb: -13.30738960660541
Palabra: aalim Frec: 1 LogProb: -12.614242426045465
Palabra: aam Frec: 4 LogProb: -11.69795169417131
Palabra: aamazing Frec: 1 LogProb: -12.614242426045465
Palabra: aamchur Frec: 1 LogProb: -12.614242426045465
Palabra: aameria Frec: 1 LogProb: -12.614242426045465
Palabra: aamras Frec: 1 LogProb: -12.614242426045465
Palabra: aandhi Frec: 0 LogProb: -13.30738960660541
Palabra: aandwiches Frec: 1 LogProb: -12.614242426045465
Palabra: aania Frec: 0 LogProb: -13.30738960660541
Palabra: aanya Frec: 1 LogProb: -12.614242426045465
Palabra: aanyacentric Frec: 1 LogProb: -12.614242426045465
Palabra: aao Frec: 0 LogProb: -13.30738960660541
Palabra: aar Frec: 0 LogProb: -13.30738960660541
Palabra: aaram Frec: 3 LogProb: -11.92109524548552
Palabra: aarav Frec: 1 LogProb: -12.614242426045465
Palabra: aarbee Frec: 0 LogProb: -13.30738960660541
Palabra: aarfa Frec: 0 LogProb: -13.30738960660541
Palabra: aari Frec: 2 LogProb: -12.208777317937301
Palabra: aarika Frec: 0 LogProb: -13.30738960660541
Palabra: aarka Frec: 3 LogProb: -11.92109524548552
Palabra: aaron Frec: 0 LogProb: -13.30738960660541
Palabra: aaronovitch Frec: 0 LogProb: -13.30738960660541
Palabra: aarsun Frec: 15 LogProb: -10.534800884365628
Palabra: aart Frec: 18 LogProb: -10.36295062743897
Palabra: aarti Frec: 4 LogProb: -11.69795169417131
Palabra: aas Frec: 0 LogProb: -13.30738960660541
Palabra: aasa Frec: 0 LogProb: -13.30738960660541
Palabra: aashi Frec: 4 LogProb: -11.69795169417131
Palabra: aashiqui Frec: 0 LogProb: -13.30738960660541
Palabra: aashirya Frec: 0 LogProb: -13.30738960660541
Palabra: aashto Frec: 0 LogProb: -13.30738960660541
Palabra: aassembly Frec: 0 LogProb: -13.30738960660541
Palabra: aata Frec: 1 LogProb: -12.614242426045465
Palabra: aatachable Frec: 0 LogProb: -13.30738960660541
Palabra: aati Frec: 0 LogProb: -13.30738960660541
Palabra: aattractive Frec: 1 LogProb: -12.614242426045465
Palabra: aatu Frec: 0 LogProb: -13.30738960660541
Palabra: aaux Frec: 0 LogProb: -13.30738960660541
Palabra: aavishkar Frec: 0 LogProb: -13.30738960660541
Palabra: aavjo Frec: 0 LogProb: -13.30738960660541
Palabra: aayog Frec: 0 LogProb: -13.30738960660541
Palabra: aazeem Frec: 4 LogProb: -11.69795169417131
Palabra: ab Frec: 7 LogProb: -11.227948064925574
Palabra: aba Frec: 0 LogProb: -13.30738960660541
Palabra: ababa Frec: 0 LogProb: -13.30738960660541
Palabra: abacus Frec: 1 LogProb: -12.614242426045465
Palabra: abandon Frec: 0 LogProb: -13.30738960660541
Palabra: abandoned Frec: 0 LogProb: -13.30738960660541
Palabra: abandoning Frec: 0 LogProb: -13.30738960660541
Palabra: abandons Frec: 0 LogProb: -13.30738960660541
Palabra: abap Frec: 0 LogProb: -13.30738960660541
Palabra: abarata Frec: 0 LogProb: -13.30738960660541
Palabra: abattery Frec: 0 LogProb: -13.30738960660541
Palabra: abaya Frec: 0 LogProb: -13.30738960660541
Palabra: abayas Frec: 0 LogProb: -13.30738960660541
Palabra: abb Frec: 0 LogProb: -13.30738960660541
Palabra: abba Frec: 0 LogProb: -13.30738960660541
Palabra: abbasi Frec: 0 LogProb: -13.30738960660541
Palabra: abbasid Frec: 0 LogProb: -13.30738960660541
Palabra: abbe Frec: 0 LogProb: -13.30738960660541
Palabra: abbey Frec: 0 LogProb: -13.30738960660541
Palabra: abbott Frec: 0 LogProb: -13.30738960660541
Palabra: abbreviation Frec: 0 LogProb: -13.30738960660541
Palabra: abbreviations Frec: 0 LogProb: -13.30738960660541
Palabra: abby Frec: 0 LogProb: -13.30738960660541
Palabra: abbyhus Frec: 1 LogProb: -12.614242426045465
Palabra: abc Frec: 7 LogProb: -11.227948064925574
Palabra: abcdab Frec: 0 LogProb: -13.30738960660541
Palabra: abcnews Frec: 0 LogProb: -13.30738960660541
Palabra: abcs Frec: 0 LogProb: -13.30738960660541
Palabra: abd Frec: 0 LogProb: -13.30738960660541
Palabra: abdomen Frec: 0 LogProb: -13.30738960660541
Palabra: abdominal Frec: 0 LogProb: -13.30738960660541
Palabra: abdomino Frec: 0 LogProb: -13.30738960660541
Palabra: abdool Frec: 0 LogProb: -13.30738960660541
Palabra: abdul Frec: 0 LogProb: -13.30738960660541
Palabra: abe Frec: 0 LogProb: -13.30738960660541
Palabra: abec Frec: 0 LogProb: -13.30738960660541
Palabra: abee Frec: 1 LogProb: -12.614242426045465
Palabra: abel Frec: 0 LogProb: -13.30738960660541
Palabra: aberdeen Frec: 0 LogProb: -13.30738960660541
Palabra: aberrant Frec: 0 LogProb: -13.30738960660541
Palabra: aberration Frec: 5 LogProb: -11.515630137377356
Palabra: aberrations Frec: 0 LogProb: -13.30738960660541
Palabra: aberystwyth Frec: 0 LogProb: -13.30738960660541
Palabra: abha Frec: 0 LogProb: -13.30738960660541
Palabra: abhaya Frec: 0 LogProb: -13.30738960660541
Palabra: abhi Frec: 0 LogProb: -13.30738960660541
Palabra: abhijeet Frec: 0 LogProb: -13.30738960660541
Palabra: abhinav Frec: 0 LogProb: -13.30738960660541
Palabra: abhishek Frec: 0 LogProb: -13.30738960660541
Palabra: abhista Frec: 1 LogProb: -12.614242426045465
Palabra: abhivriti Frec: 0 LogProb: -13.30738960660541
Palabra: abhiyaan Frec: 5 LogProb: -11.515630137377356
Palabra: abhiyanta Frec: 0 LogProb: -13.30738960660541
Palabra: abhiyogyata Frec: 0 LogProb: -13.30738960660541
Palabra: abhm Frec: 0 LogProb: -13.30738960660541
Palabra: abhor Frec: 0 LogProb: -13.30738960660541
Palabra: abhorrence Frec: 0 LogProb: -13.30738960660541
Palabra: abide Frec: 0 LogProb: -13.30738960660541
Palabra: abided Frec: 0 LogProb: -13.30738960660541
Palabra: abiding Frec: 0 LogProb: -13.30738960660541
